GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ScoreOverFlow,exception,DBConnectionException,4,0,0,0,2,0,1,0,1,0
ScoreOverFlow,security,SecurityService,21,51,2,2,9,16,3,2,1,2
ScoreOverFlow,security,SecureRealm,183,73,22,2,40,16,20,7,8,7
ScoreOverFlow,security,PasswordHashing,8,70,1,5,3,12,3,6,2,4
ScoreOverFlow,dao,UserDao,6,29,0,0,4,6,0,3,0,3
ScoreOverFlow,dao,FacilityDao,3,23,0,0,2,5,0,3,0,3
ScoreOverFlow,dao,ReservationDao,0,18,0,0,0,5,0,2,0,2
ScoreOverFlow,dao,BaseDao,6,56,1,1,2,16,2,4,1,4
ScoreOverFlow,dao,RoomDao,78,76,0,0,16,14,2,3,2,3
ScoreOverFlow,ui,GuiUtils,24,76,0,2,7,16,4,5,4,4
ScoreOverFlow,ui,TablePanel.ButtonRenderer,3,6,0,0,1,2,1,1,1,1
ScoreOverFlow,ui,LoginPanel,82,186,2,2,13,42,4,4,3,3
ScoreOverFlow,ui,BasePanel,8,161,0,0,5,41,2,3,2,3
ScoreOverFlow,ui,TablePanel,7,98,0,4,4,20,1,4,1,2
ScoreOverFlow,ui,TablePanel.new DefaultTableModel() {...},10,11,2,0,1,1,2,1,1,1
ScoreOverFlow,ui,MainWindow.new Runnable() {...},41,0,0,0,12,0,2,0,2,0
ScoreOverFlow,ui,ReservePanel,369,413,22,4,80,96,20,6,8,5
ScoreOverFlow,ui,TablePanel.ButtonEditor,10,6,0,0,3,2,2,1,2,1
ScoreOverFlow,ui,MainPanel,6,86,0,0,0,18,2,2,2,2
ScoreOverFlow,ui,MainWindow,5,43,0,0,2,11,1,1,1,1
ScoreOverFlow,ui,ViewRoomsPanel,155,103,6,0,35,29,9,2,6,2
ScoreOverFlow,dao.factory,ReservationDaoFactory,22,0,2,0,8,0,3,0,2,0
ScoreOverFlow,dao.factory,DaoFactory,7,0,0,0,2,0,2,0,2,0
ScoreOverFlow,dao.factory,UserDaoFactory,22,0,2,0,8,0,3,0,2,0
ScoreOverFlow,dao.factory,FacilityDaoFactory,22,0,2,0,8,0,3,0,2,0
ScoreOverFlow,dao.factory,RoomDaoFactory,22,0,2,0,8,0,3,0,2,0
ScoreOverFlow,server.constraint,SearchReservationConstraint,0,14,0,0,0,6,0,3,0,3
ScoreOverFlow,server.constraint,SearchRoomConstraint,4,75,0,0,2,24,1,12,1,12
ScoreOverFlow,server.action,ReservationAction,89,6,4,0,21,3,7,1,5,1
ScoreOverFlow,server.action,UserAction,13,6,0,0,4,3,2,1,2,1
ScoreOverFlow,server.action,FacilityAction,0,10,0,0,0,4,0,2,0,2
ScoreOverFlow,server.action,RoomAction,15,6,0,0,3,3,3,1,3,1
ScoreOverFlow,email,EmailSender,64,0,0,0,18,0,2,0,2,0
ScoreOverFlow,email,EmailSender.new Authenticator() {...},17,0,0,0,2,0,2,0,2,0
ScoreOverFlow,entity,Facility,11,24,0,0,4,8,3,5,3,5
ScoreOverFlow,entity,Room,8,32,0,0,3,11,2,7,2,7
ScoreOverFlow,entity,User,0,51,0,0,0,19,0,13,0,13
ScoreOverFlow,entity,Reservation,8,59,0,0,3,22,2,15,2,15
ScoreOverFlow,entity,EntityUtils,28,0,0,0,10,0,2,0,2,0
